region_pays,annee,population_a_risque,cas_estimes_inf,cas_estimes_point,cas_estimes_sup,deces_estimes_inf,deces_estimes_point,deces_estimes_sup,taux_letalite_pct,incidence_pour_1000,mortalite_pour_100k
Sudan,2023,50042790,1712000,3406260,6227000,2780,7974,17300,0.2341,68.0669,15.9344
Suriname,2023,92886,NA,0,NA,NA,0,NA,NA,0,0
Syrian Arab Republic,2023,23594623,NA,0,NA,NA,0,NA,NA,0,0
Tajikistan,2023,3470192,NA,0,NA,NA,0,NA,NA,0,0
Thailand,2023,13606254,NA,9169,NA,NA,5,NA,0.0545,0.6739,0.0367
Timor-Leste,2023,1301934,NA,0,NA,NA,0,NA,NA,0,0
Togo,2023,9304337,1357000,2143070,3219000,2870,3456,4260,0.1613,230.3302,37.144
Total,2023,4349720089,238000000,262904806,294000000,548000,596781,723000,0.227,60.4418,13.72
Turkmenistan,2023,478688,NA,0,NA,NA,0,NA,NA,0,0
Türkiye,2023,5672582,NA,0,NA,NA,0,NA,NA,0,0
Uganda,2023,48656601,8278000,12572518,19760000,13800,15945,19300,0.1268,258.3929,32.7705
United Arab Emirates,2023,10642081,NA,0,NA,NA,0,NA,NA,0,0
United Republic of Tanzania,2023,66617606,6017000,8554792,11810000,24000,25540,27500,0.2985,128.4164,38.3382
Uzbekistan,2023,35652,NA,0,NA,NA,0,NA,NA,0,0
Vanuatu,2023,320408,3500,5748,9100,NA,0,NA,0,17.9396,0
Venezuela (Bolivarian Republic of),2023,14150427,120000,134811,156000,61,118,180,0.0875,9.527,0.8339
Viet Nam,2023,73958461,NA,373,NA,NA,0,NA,0,0.005,0
Yemen,2023,25353517,609000,985137,1521000,980,2474,4830,0.2511,38.856,9.758
Zambia,2023,20723965,2339000,3662799,5571000,7580,8525,10100,0.2327,176.7422,41.136
Zimbabwe,2023,12867204,381000,635589,914000,600,1627,3100,0.256,49.396,12.6445
